Metabolite,´úÐ»Îï,P_value,FDR,VIP_pred_OPLS-DA,VIP_PLS-DA,FC(KA/HA),Log2FC(KA/HA),Significant,Regulate,"KEGG Compound ID","KEGG Compound First Category","KEGG Compound Second Category","KEGG Pathway ID","KEGG Pathway Description","KEGG Pathway First Category","KEGG Pathway Second Category","Library ID","HMDB Superclass","HMDB Class","HMDB Subclass","CAS ID",M/Z,"Retention time",Adducts,Formula,"Fragmentation Score","Theoretical Fragmentation Score","Metab ID",ID,Mode,KA1,KA10,KA11,KA12,KA6,KA8,HA12,HA14,HA16,HA3,HA4,HA6,ka_mean,ka_SD,ha_mean,ha_SD
L-Isoleucine,L-ÒìÁÁ°±Ëá,2.334E-5,0.01412,1.7178,1.7783,0.6266,-0.6744,yes,down,C00407,Peptides,"Amino acids",map01100;map04978;map00280;map00290;map01210;map02010;map01230;map04974;map00970;map05230,"Metabolic pathways;Mineral absorption;Valine, leucine and isoleucine degradation;Valine, leucine and isoleucine biosynthesis;2-Oxocarboxylic acid metabolism;ABC transporters;Biosynthesis of amino acids;Protein digestion and absorption;Aminoacyl-tRNA biosynthesis;Central carbon metabolism in cancer","Metabolism;Organismal Systems;Metabolism;Metabolism;Metabolism;Environmental Information Processing;Metabolism;Organismal Systems;Genetic Information Processing;Human Diseases","Global and overview maps;Digestive system;Amino acid metabolism;Amino acid metabolism;Global and overview maps;Membrane transport;Global and overview maps;Digestive system;Translation;Cancer: overview",HMDB0000172;PW_C000112;HMDB0000557;MJDBOTE0001077,"Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues",1509-34-8;73-32-5,132.101717008,0.886083333333,M+H,C6H13NO2,68.4,0,metab_552,pos_1515,pos,7988000,10730000,7636000,10710000,9164000,10170000,15040000,15330000,16260000,12860000,16120000,14410000,,,,
"PG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:3(8Z,11Z,14Z))",-,7.723E-5,0.007354,1.7037,1.5983,0.2649,-1.9165,yes,down,C00344,Lipids,Phospholipids,map01100;map00564,"Metabolic pathways;Glycerophospholipid metabolism",Metabolism;Metabolism,"Global and overview maps;Lipid metabolism",LMGP04010838;PW_C063057;HMDB0116603,"Lipids and lipid-like molecules",Glycerophospholipids,Glycerophosphoglycerols,-,865.502945786,7.17096666667,M+Na-2H,C48H77O10P,0,34.8,metab_6594,neg_1224,neg,159600,124700,729800,274200,341800,1024000,2161000,1505000,1368000,1574000,1596000,1818000,,,,
L-Hexanoylcarnitine,"L -¼ºõ£»ùÈâ¼î",0.0001085,0.01563,1.7036,1.5997,1.9911,0.9936,yes,up,-,-,-,-,-,-,-,HMDB0000756,"Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters",22671-29-0,260.185142184,4.52751666667,M+H,C13H25NO4,90.6,0,metab_892,pos_1827,pos,907100,1065000,1125000,1217000,982900,1110000,437500,470100,655200,321800,777200,556600,,,,
Butyryl-L-carnitine,"¶¡õ£- L -Èâ¼î",0.0002193,0.01632,1.6985,1.5766,1.9185,0.94,yes,up,C02862,-,-,-,-,-,-,HMDB0002013,"Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters",25576-40-3,232.153953706,2.72931666667,M+H,C11H21NO4,57.3,0,metab_5006,pos_5914,pos,2533000,2211000,1618000,1900000,2185000,2411000,1097000,929800,1032000,744900,1380000,1515000,,,,
"(9S,10E,12S,13S)-9,12,13-Trihydroxyoctadec-10-enoylcarnitine","£¨9S£¬10E£¬12S£¬13S£©-9,12,13-ÈýôÇ»ùÊ®°ËÍé»ù-10-Ï©õ£»ùÈâ¼î",0.0001275,0.01563,1.6979,1.7019,0.3406,-1.5538,yes,down,-,-,-,-,-,-,-,HMDB0241532,"Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters",-,456.33107174,6.19298333333,M+H-H2O,C25H47NO7,0,47.7,metab_1332,pos_2241,pos,315800,240900,465800,284300,369300,661500,1077000,1402000,1454000,850800,1084000,996700,,,,
"1,3-Butadiene",3-¶¡¶þÏ©,5.147E-5,0.01412,1.697,1.7496,0.6408,-0.6421,yes,down,C16450,-,-,-,-,-,-,HMDB0041792,Hydrocarbons,"Unsaturated hydrocarbons",Olefins,106-99-0,72.0812674713,0.743166666667,M+NH4,C4H6,0,42.9,metab_5363,pos_6253,pos,440700,602600,459500,545100,526300,581700,814500,839600,926900,689600,873200,781000,,,,
"Alpha-Terpineol formate",-,0.000508,0.02466,1.6953,1.5194,1.1894,0.2502,yes,up,-,-,-,-,-,-,-,HMDB0032050,"Lipids and lipid-like molecules","Prenol lipids",Monoterpenoids,2153-26-6,200.16422391,6.02478333333,M+NH4,C11H18O2,0,31.8,metab_4318,pos_5283,pos,1457000,1511000,1416000,1486000,1529000,1491000,1221000,1281000,1226000,1168000,1403000,1175000,,,,
"Pantothenic Acid",·ºËá,0.0005388,0.02562,1.695,1.5938,2.5674,1.3603,yes,up,C00864,"Vitamins and cofactors",Vitamins,map01100;map01240;map00770;map00410;map04977,"Metabolic pathways;Biosynthesis of cofactors;Pantothenate and CoA biosynthesis;beta-Alanine metabolism;Vitamin digestion and absorption","Metabolism;Metabolism;Metabolism;Metabolism;Organismal Systems","Global and overview maps;Global and overview maps;Metabolism of cofactors and vitamins;Metabolism of other amino acids;Digestive system",PW_C000136;HMDB0000210;HMDB0250782;MJDBOTE0000845,"Organic oxygen compounds","Organooxygen compounds","Alcohols and polyols",79-83-4,220.117605238,2.73731666667,"M+H-H2O, M+Na, M+H, M+H-2H2O",C9H17NO5,77.8,0,metab_223,pos_12,pos,6535000,8710000,5051000,7215000,6779000,4774000,2042000,2136000,3699000,2297000,2658000,2388000,,,,
Octanoylcarnitine,ÐÁõ£Èâ¼î,0.0009332,0.02992,1.6826,1.5841,1.8484,0.8863,yes,up,C02838,-,-,-,-,-,-,LMFA07070095;HMDB0000791,"Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters",25243-95-2,310.200603254,5.9521,M+Na,C15H29NO4,0,53.8,metab_1149,pos_2059,pos,778300,1140000,807600,787500,870200,700700,447500,435900,432000,389600,547700,497600,,,,
4-Chloro-L-phenylalanine,"4 -ÂÈ- L -±½±û°±Ëá",0.0002555,0.01817,1.6817,1.5033,1.4837,0.5692,yes,up,-,-,-,-,-,-,-,HMDB0244605,"Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues",-,241.073372665,4.03145,M+ACN+H,C9H10ClNO2,0,70.4,metab_4827,pos_5747,pos,5580000,5148000,4712000,5705000,6427000,6104000,3710000,4388000,3028000,3792000,4218000,3565000,,,,
