Num,"First Category","Second Category","Pathway Description",通路描述,Pathway_ID,Database,"Enrich Factor","DA Score",Ratio_in_study,Ratio_in_pop,P_value,P_adjust
1,"Human Diseases","Immune disease",Asthma,气喘,map05310,"KEGG PATHWAY",0.2,0.5," 1/17"," 5/6215",0.01361,0.05566
1,"Organismal Systems","Environmental adaptation","Circadian entrainment",昼夜节律夹带,map04713,"KEGG PATHWAY",0.11111111111111,0.1429," 1/17"," 9/6215",0.02437,0.07832
1,"Cellular Processes","Cellular community - eukaryotes","Gap junction",间隙连接,map04540,"KEGG PATHWAY",0.090909090909091,0.1429," 1/17"," 11/6215",0.0297,0.07863
1,"Organismal Systems","Immune system","Fc epsilon RI signaling pathway",Fc-ε-RI信号通路,map04664,"KEGG PATHWAY",0.090909090909091,0.1429," 1/17"," 11/6215",0.0297,0.07863
1,"Organismal Systems","Digestive system","Gastric acid secretion",胃酸分泌,map04971,"KEGG PATHWAY",0.071428571428571,0.1667," 1/17"," 14/6215",0.03766,0.0807
1,"Organismal Systems","Digestive system","Cholesterol metabolism",胆固醇代谢,map04979,"KEGG PATHWAY",0.1,0.5," 1/17"," 10/6215",0.02704,0.08111
1,Metabolism,"Carbohydrate metabolism","Citrate cycle (TCA cycle)",柠檬酸盐循环（TCA循环）,map00020,"KEGG PATHWAY",0.05,-0.3333," 1/17"," 20/6215",0.05339,0.1092
1,Metabolism,"Metabolism of other amino acids","Taurine and hypotaurine metabolism",牛磺酸和亚牛磺酸代谢,map00430,"KEGG PATHWAY",0.045454545454545,0.25," 1/17"," 22/6215",0.05858,0.1146
1,Metabolism,"Amino acid metabolism","Arginine biosynthesis",精氨酸生物合成,map00220,"KEGG PATHWAY",0.043478260869565,-0.25," 1/17"," 23/6215",0.06116,0.1147
1,"Organismal Systems","Environmental adaptation",Thermogenesis,产热,map04714,"KEGG PATHWAY",0.043478260869565,-0.1429," 1/17"," 23/6215",0.06116,0.1147
1,"Organismal Systems","Endocrine system","Glucagon signaling pathway",胰高血糖素信号通路,map04922,"KEGG PATHWAY",0.038461538461538,-0.3333," 1/17"," 26/6215",0.06887,0.1192
1,"Organismal Systems","Sensory system","Taste transduction",味觉转导,map04742,"KEGG PATHWAY",0.03125,0.25," 1/17"," 32/6215",0.08412,0.1221
1,"Human Diseases","Cancer: overview","Chemical carcinogenesis - receptor activation",化学致癌作用-受体激活,map05207,"KEGG PATHWAY",0.03448275862069,0.5," 1/17"," 29/6215",0.07653,0.123
1,Metabolism,"Amino acid metabolism","Phenylalanine, tyrosine and tryptophan biosynthesis",苯丙氨酸、酪氨酸和色氨酸生物合成,map00400,"KEGG PATHWAY",0.029411764705882,-0.2," 1/17"," 34/6215",0.08915,0.1254
1,"Human Diseases","Cancer: overview","Central carbon metabolism in cancer",癌症的中心碳代谢,map05230,"KEGG PATHWAY",0.027027027027027,-0.1," 1/17"," 37/6215",0.09665,0.1318
1,Metabolism,"Carbohydrate metabolism","Propanoate metabolism",丙酸代谢,map00640,"KEGG PATHWAY",0.020833333333333,-0.3333," 1/17"," 48/6215",0.1236,0.1391
1,"Organismal Systems","Nervous system","Serotonergic synapse",5-羟色胺能突触,map04726,"KEGG PATHWAY",0.023809523809524,0.09091," 1/17"," 42/6215",0.109,0.1402
1,Metabolism,"Amino acid metabolism","Glycine, serine and threonine metabolism",甘氨酸、丝氨酸和苏氨酸代谢,map00260,"KEGG PATHWAY",0.02,-0.06667," 1/17"," 50/6215",0.1285,0.141
1,Metabolism,"Amino acid metabolism","Histidine metabolism",组氨酸代谢,map00340,"KEGG PATHWAY",0.021276595744681,0.1429," 1/17"," 47/6215",0.1212,0.1474
1,Metabolism,"Lipid metabolism","Primary bile acid biosynthesis",初级胆汁酸生物合成,map00120,"KEGG PATHWAY",0.021276595744681,0.2," 1/17"," 47/6215",0.1212,0.1474
1,"Organismal Systems","Digestive system","Protein digestion and absorption",蛋白质的消化和吸收,map04974,"KEGG PATHWAY",0.021276595744681,0.09091," 1/17"," 47/6215",0.1212,0.1474
1,Metabolism,"Carbohydrate metabolism","Ascorbate and aldarate metabolism",抗坏血酸和醛酸代谢,map00053,"KEGG PATHWAY",0.017543859649123,-0.2," 1/17"," 57/6215",0.1452,0.1555
1,Metabolism,"Amino acid metabolism","Arginine and proline metabolism",精氨酸和脯氨酸代谢,map00330,"KEGG PATHWAY",0.012820512820513,-0.1667," 1/17"," 78/6215",0.1934,0.1978
2,"Organismal Systems","Nervous system","Synaptic vesicle cycle",突触小泡循环,map04721,"KEGG PATHWAY",0.16666666666667,0.6667," 2/17"," 12/6215",0.0004574,0.004117
2,Metabolism,"Carbohydrate metabolism","Glyoxylate and dicarboxylate metabolism",乙醛酸和二羧酸代谢,map00630,"KEGG PATHWAY",0.032258064516129,-0.3333," 2/17"," 62/6215",0.01209,0.05442
2,"Organismal Systems","Digestive system","Bile secretion",胆汁分泌,map04976,"KEGG PATHWAY",0.020618556701031,0.1818," 2/17"," 97/6215",0.02816,0.07919
